Component Name,price NPR
ESP32 WROOM WiFi and Bluetooth Development Board USB Type-C,RS 1000
L298N Motor Driver Module,RS 600
Ultrasonic Sensor HC-SR04,"	RS 150"
Ultrasonic Sensor Holder Big,RS 60
"	
3 Cell 18650 Battery Holder","	RS 120	"
Battery -18650 3.7 V 7800 mAh Li-Ion,RS 360
Bo Motor,"	RS 320"
BO Motor Wheel Big,RS 320
Breadboard Mini,"	RS 80	"
,Total price NPR : 3010
,Total price USD : 22$
,Total price with shippping : 24$
"Note : This price doesnot include the shipping cost or the 3d printed base and all, I will cover those myself :joy:",
